Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.084771,-0.090746,0.052139,0,0,0,0.6097,0.00050932,-7.2207E-06,7.1264E-05,0.00074605,3.8554E-06,0.00074795,0,0,0,0,0,0,package://20260108三指/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://20260108三指/meshes/base_link.STL,,基座上-1;末端法兰接口.STEP-1/Marvin M6-S-R-CCS-V4.0（去掉末端法兰）.STEP-1/Marvin M6-S-R-CCS-V4.0（去掉末端法兰）.STEP.STEP-1/Marvin M6-S--T-Axis________________.STEP.STEP-1;基座-1;末端法兰接口.STEP-1/RH56F1-右手数模文件.STEP-1/_转接法兰_V1.0.STEP-1;末端法兰接口.STEP-1/_相机支架_V1.0.STEP-1;手指安装底座-1;驱动大拇指中号模组-1/中号装配体-1/____________.STEP-1;驱动大拇指中号模组-1/中号装配体-1/装配体3^中号装配体-1/中号上壳-1;中号模组251230.STEP-1/____________.STEP-1;中号模组251230.STEP-1/________-9.STEP-1;中号模组251230.STEP-2/________-9.STEP-1;中号模组251230.STEP-2/____________.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1-1,-0.01121,-0.024986,0.01133,0,0,0,0.012406,3.3204E-06,-2.9011E-07,4.5844E-08,2.1176E-06,-7.3449E-08,2.0437E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-1.STL,1,1,1,1,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-1.STL,,中号模组251230.STEP-3/____________.STEP-1;中号模组251230.STEP-3/________-9.STEP-1;大拇指下壳耳朵-1,Origin_1,Axis_1,1,revolute,-0.10214,-0.035,0,0,0,0.012849,base_link,0,0,1,0,0,0,0,,,,,,,,
Empty_Link1-2,0.0139744117353783,-4.73514894031024E-05,0.0291729369925875,0,0,0,0.0328223509634194,5.87327775368531E-06,-2.42293733672324E-09,1.24666356791E-07,5.07036278289735E-06,1.167458212382E-08,1.44943749784953E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-2.STL,0.529411764705882,0.549019607843137,0.549019607843137,0.25,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-2.STL,,小号连接小号完整20260107-4/小号连接中号^小号连接小号完整20260107-1/外壳下盖-1;小号连接小号完整20260107-4/小号连接中号^小号连接小号完整20260107-1/小号连接中号耳朵-1;小号连接小号完整20260107-4/小号连接中号^小号连接小号完整20260107-1/外壳上盖小号连接中号-1,Origin_2,Axis_2,2,revolute,-0.0014052,-0.03,0.030305,0.067362,0,3.1416,Empty_Link1-1,1,0,0,0,0,0,0,,,,,,,,
Empty_Link1-3,0.00961442030438391,0.000239669477866855,0.07662051505946,0,0,0,0.0297510593823822,5.13139223918516E-06,-1.53884309665112E-09,-9.6380591873613E-08,4.30641204098196E-06,1.09386894262369E-08,1.33788148562098E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-3.STL,0.529411764705882,0.549019607843137,0.549019607843137,0.25,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-3.STL,,小号连接小号完整20260107-4/装配体2^小号连接小号完整20260107-2/外壳下盖-1;小号连接小号完整20260107-4/装配体2^小号连接小号完整20260107-2/小耳连接小耳走线-2;小号连接小号完整20260107-4/装配体2^小号连接小号完整20260107-2/外壳上盖小号连接小号-1,Origin_3,Axis_3,3,revolute,0.0034304,0,0,0.0063619,0,0,Empty_Link1-2,1,0,0,0,0,0,0,,,,,,,,
Empty_Link1-4,-3.46944695195361E-17,-0.00166499315424778,-0.00656994357639908,0,0,0,0.0144395845106866,9.37555104291416E-07,-1.30115510354591E-21,1.45583787809333E-22,1.97370631177313E-07,7.70600251543202E-08,9.2293655079003E-07,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-4.STL,0.850980392156863,0.850980392156863,0.850980392156863,1,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link1-4.STL,,指尖-1/指尖连接小耳走线-1;指尖-1/外壳上盖指尖连接小号-1,Origin_4,,4,revolute,0.0065744,0.0012681,0.10847,-1.5708,0.058958,1.5708,Empty_Link1-3,0,0,0,0,0,0,0,,,,,,,,
Empty_Link2-1,-0.0107803948360339,-4.73526693233611E-05,0.0291729383916289,0,0,0,0.0328223487354742,5.8732772214781E-06,-2.42294746335941E-09,1.24666301411802E-07,5.07036230233851E-06,1.16743686725771E-08,1.44943743044965E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link2-1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link2-1.STL,,小号连接小号完整20260107-3/小号连接中号^小号连接小号完整20260107-1/外壳上盖小号连接中号-1;小号连接小号完整20260107-3/小号连接中号^小号连接小号完整20260107-1/外壳下盖-1;小号连接小号完整20260107-3/小号连接中号^小号连接小号完整20260107-1/小号连接中号耳朵-1,Origin_12,Axis_12,1,continuous,-0.07678,-0.065,0.030225,-0.065421,0,0,base_link,1,0,0,,,,,,,,,,,,
Empty_Link2-2,-0.00846000852005921,0.00023966976134833,0.0766205168994215,0,0,0,0.029751058131133,5.13139188477036E-06,-1.5388188256391E-09,-9.6380479420104E-08,4.30641164843404E-06,1.09388007275865E-08,1.33788144309999E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link2-2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link2-2.STL,,小号连接小号完整20260107-3/装配体2^小号连接小号完整20260107-2/外壳上盖小号连接小号-1;小号连接小号完整20260107-3/装配体2^小号连接小号完整20260107-2/外壳下盖-1;小号连接小号完整20260107-3/装配体2^小号连接小号完整20260107-2/小耳连接小耳走线-2,Origin_22,Axis_22,2,revolute,-0.00325,0,0,0.0063619,0,0,Empty_Link2-1,1,0,0,0,0,0,0,,,,,,,,
Empty_Link2-3,0.0130699435763991,4.81559236931162E-15,-0.0158350068457522,0,0,0,0.0144395845106867,9.22936550790032E-07,-2.34505703658783E-22,7.706002515432E-08,9.37555104291412E-07,2.15645985692574E-21,1.97370631177308E-07,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link2-3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link2-3.STL,,指尖-2/外壳上盖指尖连接小号-1;指尖-2/指尖连接小耳走线-1,Origin_32,,3,revolute,-0.018,-0.00014452,0.126,0.012952,0,0,Empty_Link2-2,0,0,0,0,0,0,0,,,,,,,,
Empty_Link3-1,0.0139796054529292,-4.73517129236378E-05,0.0291729378065988,0,0,0,0.0328223497675183,5.87327743791703E-06,-2.42294066054213E-09,1.24666331177571E-07,5.07036247527995E-06,1.16745429553433E-08,1.44943748215806E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link3-1.STL,0.529411764705882,0.549019607843137,0.549019607843137,0.25,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link3-1.STL,,小号连接小号完整20260107-1/小号连接中号^小号连接小号完整20260107-1/外壳下盖-1;小号连接小号完整20260107-1/小号连接中号^小号连接小号完整20260107-1/小号连接中号耳朵-1;小号连接小号完整20260107-1/小号连接中号^小号连接小号完整20260107-1/外壳上盖小号连接中号-1,Origin_13,Axis_13,1,revolute,-0.05004,-0.065,0.030225,0.047745,0,3.1416,base_link,1,0,0,0,0,0,0,,,,,,,,
Empty_Link3-2,0.00992310956353654,0.000861287397856764,0.0765067308245715,0,0,0,0.0297510595337044,5.13139224907959E-06,-1.53884277125971E-09,-9.63805939455314E-08,4.30641204988599E-06,1.0938695897597E-08,1.33788148655002E-06,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link3-2.STL,0.529411764705882,0.549019607843137,0.549019607843137,0.25,0,0,0,0,0,0,package://20260108三指/meshes/Empty_Link3-2.STL,,小号连接小号完整20260107-1/装配体2^小号连接小号完整20260107-2/外壳下盖-1;小号连接小号完整20260107-1/装配体2^小号连接小号完整20260107-2/外壳上盖小号连接小号-1;小号连接小号完整20260107-1/装配体2^小号连接小号完整20260107-2/小耳连接小耳走线-2,Origin_23,Axis_23,2,revolute,0.0031269,-0.00062233,0.00010983,0.0063619,0,0,Empty_Link3-1,1,0,0,0,0,0,0,,,,,,,,
